1000, Resitencia, Argentina
1001, Resitencia, Argentina
1002, Resitencia, Argentina
1003, Resitencia, Argentina
1004, Resitencia, Argentina
1005, Resitencia, Argentina
1006, Resitencia, Argentina
1007, Corrientes, Argentina
1008, Corrientes, Argentina
1009, Corrientes, Argentina
1010, Corrientes, Argentina
1011, Corrientes, Argentina
1012, Corrientes, Argentina
1013, Corrientes, Argentina
1014, Corrientes, Argentina
1015, Posadas, Argentina
1016, Posadas, Argentina
1017, Posadas, Argentina
1018, Posadas, Argentina
1019, Posadas, Argentina
1020, Posadas, Argentina
1021, Posadas, Argentina
1022, Posadas, Argentina
1023, Rio_de_Janeiro, Brasil
1024, Rio_de_Janeiro, Brasil
1025, Rio_de_Janeiro, Brasil
1026, Rio_de_Janeiro, Brasil
1027, Rio_de_Janeiro, Brasil
1028, Rio_de_Janeiro, Brasil
1029, Rio_de_Janeiro, Brasil
1030, Rio_de_Janeiro, Brasil
1031, Florianopolis, Brasil
1032, Florianopolis, Brasil
1033, Florianopolis, Brasil
1034, Florianopolis, Brasil
1035, Florianopolis, Brasil
1036, Florianopolis, Brasil
1037, Florianopolis, Brasil
1038, Florianopolis, Brasi
1039, San_Pablo, Brasil
1040, San_Pablo, Brasil
1041, San_Pablo, Brasil
1042, San_Pablo, Brasil
1043, San_Pablo, Brasil
1044, San_Pablo, Brasil
1045, San_Pablo, Brasil
1046, San_Pablo, Brasil
1047, Nueva_York, Estados_Unidos
1048, Nueva_York, Estados_Unidos
1049, Nueva_York, Estados_Unidos
1050, Nueva_York, Estados_Unidos
1051, Nueva_York, Estados_Unidos
1052, Nueva_York, Estados_Unidos
1053, Nueva_York, Estados_Unidos
1054, Nueva_York, Estados_Unidos
1055, Nueva_York, Estados_Unidos
1056, Chicago, Estados_Unidos
1057, Chicago, Estados_Unidos
1058, Chicago, Estados_Unidos
1059, Chicago, Estados_Unidos
1060, Chicago, Estados_Unidos
1061, Chicago, Estados_Unidos
1062, Chicago, Estados_Unidos
1063, Chicago, Estados_Unidos
1064, Chicago, Estados_Unidos
1065, Chicago, Estados_Unidos
1066, Los_Angeles, Estados_Unidos
1067, Los_Angeles, Estados_Unidos
1068, Los_Angeles, Estados_Unidos
1069, Los_Angeles, Estados_Unidos
1070, Los_Angeles, Estados_Unidos
1071, Los_Angeles, Estados_Unidos
1072, Los_Angeles, Estados_Unidos
1073, Los_Angeles, Estados_Unidos
1074, Los_Angeles, Estados_Unidos
